City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,khurrianwala,31.5006,73.2667,38.38,10,32,2.15,PK,1715264876
179,hermanus,-34.4187,19.2345,18.22,65,0,5.41,ZA,1715264877
180,kuala belait,4.5833,114.1833,27.09,89,100,2.54,BN,1715264877
181,tazovsky,67.4667,78.7,-8.22,95,61,3.43,RU,1715264878
182,inongo,-1.95,18.2667,25.71,74,100,1.34,CD,1715264878
183,corinto,37.9407,22.9573,19.02,57,100,1.28,GR,1715264879
184,cova figueira,14.8905,-24.2934,20.81,61,16,8.8,CV,1715264879
185,k'olito,7.3167,38.0833,21.97,75,64,1.81,ET,1715264880
186,la ronge,55.1001,-105.2842,12.14,62,0,5.66,CA,1715264880
187,khandyga,62.6667,135.6,1.36,99,100,1.69,RU,1715264614
188,nola,40.922,14.5329,25.95,67,100,6.79,IT,1715264881
189,walvis bay,-22.9575,14.5053,23.53,53,0,4.63,NA,1715264882
190,lubuklinggau,-3.3,102.8667,22.87,98,100,1.25,ID,1715264882
191,port lincoln,-34.7333,135.8667,14.66,83,0,4.74,AU,1715264883
192,kuraymah,18.55,31.85,38.65,6,2,1.83,SD,1715264883
193,labasa,-16.4167,179.3833,20.94,76,25,2.26,FJ,1715264884
194,inirida,3.8653,-67.9239,24.82,95,100,1.06,CO,1715264884
195,ternate,0.8,127.4,27.02,79,100,2.41,ID,1715264885
196,yuanping,38.7153,112.7575,22.19,41,30,3.46,CN,1715264885
197,broome,42.2506,-75.833,12.61,80,100,2.57,US,1715264886
198,suva,-18.1416,178.4415,19.71,88,20,1.03,FJ,1715264886
199,ranikhet,29.65,79.4167,18.48,67,92,0.66,IN,1715264886
200,mullovka,54.2,49.4,4.9,41,82,5.29,RU,1715264887
201,fort bragg,35.139,-79.006,24.34,82,75,6.69,US,1715264887
202,sen monorom,12.45,107.2,21.88,91,100,1.52,KH,1715264888
203,tsagan aman,47.5639,46.7218,15.07,37,100,9.91,RU,1715264888
204,pisco,-13.7,-76.2167,20.03,88,75,2.06,PE,1715264889
205,tamanrasset,22.785,5.5228,35.95,7,0,5.14,DZ,1715264889
206,cabedelo,-6.9811,-34.8339,29.37,79,22,6.94,BR,1715264890
207,naryn,41.4287,75.9911,19.14,27,7,3.99,KG,1715264890
208,ardakan,32.31,54.0175,26.36,10,0,2.18,IR,1715264891
209,port elizabeth,-33.918,25.5701,21.72,80,0,5.14,ZA,1715264891
210,ribeira grande,38.5167,-28.7,20.22,73,20,5.14,PT,1715264891
211,boa vista,2.8197,-60.6733,28.99,74,40,1.54,BR,1715264892
212,maceio,-9.6658,-35.7353,29.69,89,75,8.23,BR,1715264893
